Proteins,GO-terms,Scores
O14793,GO:0005681,0.040599376
O14793,GO:0120025,0.04035514
O14793,GO:0031965,0.039823666
O14793,GO:0009986,0.039693087
O14793,GO:0090575,0.03923648
O14793,GO:1902555,0.038955636
O14793,GO:0031312,0.038406268
O14793,GO:0042579,0.038291246
O14793,GO:0015030,0.038201407
O14793,GO:0098590,0.038192574
O14793,GO:0019005,0.037798498
O14793,GO:0005788,0.037734788
O14793,GO:0031966,0.037726723
O14793,GO:0005635,0.037719734
O14793,GO:0019898,0.03766838
O14793,GO:0043235,0.037562836
O14793,GO:0035097,0.037519205
O14793,GO:0005911,0.037485726
O14793,GO:0031967,0.037454553
O14793,GO:0005777,0.037304547
O14793,GO:0000932,0.037133694
O14793,GO:0031975,0.037096173
O14793,GO:0005840,0.03683167
O14793,GO:0005684,0.03682019
O14793,GO:0031314,0.036806103
O14793,GO:0070461,0.036764976
O14793,GO:0000228,0.036738805
O14793,GO:0098805,0.036699425
O14793,GO:0009507,0.036223054
O14793,GO:0072686,0.036198325
O14793,GO:0005887,0.036005564
O14793,GO:0090568,0.03599373
O14793,GO:0035861,0.03578261
O14793,GO:0045202,0.035753857
O14793,GO:0000803,0.035658542
O14793,GO:0000776,0.035502404
O14793,GO:0000791,0.035464875
O14793,GO:0031226,0.035461884
O14793,GO:0000922,0.034514993
O14793,GO:1904949,0.03446857
O14793,GO:0030017,0.03428387
O14793,GO:0030684,0.034250893
O14793,GO:0016605,0.034223635
O14793,GO:0044391,0.03412652
O14793,GO:0016235,0.03402327
O14793,GO:0043005,0.033610255
O14793,GO:0005618,0.033589732
O14793,GO:0098791,0.0335565
O14793,GO:0019866,0.033491343
O14793,GO:0099512,0.0333541
O14793,GO:0005743,0.033350326
O14793,GO:0098797,0.03334184
O14793,GO:0000124,0.033341456
O14793,GO:0031984,0.033180684
O14793,GO:0099513,0.03304949
O14793,GO:0030312,0.0330215
O14793,GO:0030496,0.032802146
O14793,GO:0000793,0.032754872
O14793,GO:1902554,0.03247111
O14793,GO:0070603,0.032409515
O14793,GO:0005874,0.03236875
O14793,GO:0022626,0.032296088
O14793,GO:0030659,0.0322605
O14793,GO:0070822,0.032256722
O14793,GO:0005811,0.031971462
O14793,GO:0031462,0.031766545
O14793,GO:0099081,0.031708933
O14793,GO:0019774,0.031655632
O14793,GO:0000325,0.03165042
O14793,GO:0005942,0.031589027
O14793,GO:0005774,0.031552438
O14793,GO:0009898,0.0313884
O14793,GO:0005769,0.031161726
O14793,GO:0012506,0.031033896
O14793,GO:1905369,0.031024486
O14793,GO:0098562,0.03094459
O14793,GO:0009506,0.030788887
O14793,GO:0005826,0.030605191
O14793,GO:0000794,0.03025522
O14793,GO:0010494,0.030150868
O14793,GO:0000786,0.030137
O14793,GO:1903293,0.030112635
O14793,GO:0044732,0.029841946
O14793,GO:0000307,0.029460061
O14793,GO:0030018,0.029401049
O14793,GO:0005770,0.029350227
O14793,GO:0008287,0.029274277
O14793,GO:0044815,0.029146401
O14793,GO:0070938,0.029001348
O14793,GO:0015934,0.028880058
O14793,GO:0044297,0.028852737
O14793,GO:0098589,0.028818656
O14793,GO:0009505,0.028788757
O14793,GO:0043025,0.028736241
O14793,GO:0045121,0.028727327
O14793,GO:0030139,0.028673299
O14793,GO:0009897,0.028667102
O14793,GO:0030532,0.02863722
O14793,GO:0098857,0.028534846
O14793,GO:0005839,0.02847416
O14793,GO:0005929,0.028219676
O14793,GO:0036064,0.028149737
O14793,GO:0031983,0.02798031
O14793,GO:0120114,0.027815476
O14793,GO:0045111,0.02781082
O14793,GO:0097525,0.02777436
O14793,GO:0016592,0.027773526
O14793,GO:0005643,0.027655799
O14793,GO:0099503,0.027619122
O14793,GO:0005775,0.027529033
O14793,GO:0031301,0.027399948
O14793,GO:0005762,0.027355896
O14793,GO:0030667,0.02734759
O14793,GO:0098852,0.027334144
O14793,GO:0060205,0.02724997
O14793,GO:0005763,0.027092855
O14793,GO:0005802,0.027081713
O14793,GO:0034774,0.02701481
O14793,GO:0031300,0.026914742
O14793,GO:0031907,0.026851095
O14793,GO:0000322,0.026392192
O14793,GO:0005782,0.02631716
O14793,GO:0000314,0.026306033
O14793,GO:0099086,0.026264373
O14793,GO:0048046,0.025966167
O14793,GO:0015630,0.02588566
O14793,GO:0010008,0.025829282
O14793,GO:0000315,0.025681054
O14793,GO:0015629,0.025656514
O14793,GO:0000812,0.025421929
O14793,GO:0098802,0.025329651
O14793,GO:0045335,0.025218723
O14793,GO:0000502,0.02521607
O14793,GO:0031985,0.02515634
O14793,GO:0031225,0.0251437
O14793,GO:0005628,0.025099315
O14793,GO:0032040,0.02504304
O14793,GO:0005876,0.024999734
O14793,GO:0097346,0.024986748
O14793,GO:0005680,0.02491185
O14793,GO:0008023,0.02470092
O14793,GO:0000329,0.02456359
O14793,GO:0030687,0.024497634
O14793,GO:0000138,0.024413101
O14793,GO:0034518,0.02434838
O14793,GO:0001917,0.024252499
O14793,GO:0043186,0.024104008
O14793,GO:0030173,0.024011109
O14793,GO:0015935,0.023967927
O14793,GO:0045171,0.023689207
O14793,GO:0000795,0.02345281
O14793,GO:0101031,0.023368197
O14793,GO:0099572,0.023261882
O14793,GO:0098803,0.023067756
O14793,GO:0030424,0.023027927
O14793,GO:1990391,0.02266172
O14793,GO:0014069,0.022644997
O14793,GO:0009295,0.022425158
O14793,GO:0019867,0.022350458
O14793,GO:0005657,0.022280889
O14793,GO:0005700,0.022207424
O14793,GO:0044232,0.022138573
O14793,GO:0045239,0.021902306
O14793,GO:0005793,0.021779288
O14793,GO:0034451,0.021729153
O14793,GO:0042597,0.021728283
O14793,GO:0016514,0.021704601
O14793,GO:0097729,0.021699084
O14793,GO:0031228,0.021658875
O14793,GO:0035327,0.021653485
O14793,GO:0005685,0.021532852
O14793,GO:0042788,0.021465056
O14793,GO:0034399,0.021401722
O14793,GO:0016324,0.021268867
O14793,GO:0009532,0.021224964
O14793,GO:0000324,0.021163497
O14793,GO:0005849,0.021112185
O14793,GO:0031514,0.021082573
O14793,GO:0005741,0.02104329
O14793,GO:0036126,0.021021679
O14793,GO:0009570,0.02098404
O14793,GO:0030055,0.020937078
O14793,GO:0071013,0.020923778
O14793,GO:0071944,0.020891532
O14793,GO:0071004,0.02072943
O14793,GO:0098800,0.02053993
O14793,GO:0005795,0.020529777
O14793,GO:0071010,0.020408649
O14793,GO:1904813,0.020286862
O14793,GO:0000109,0.020216202
O14793,GO:0016529,0.020186553
O14793,GO:0005912,0.020174438
O14793,GO:0097060,0.020096276
O14793,GO:0031253,0.019944843
O14793,GO:0070161,0.019883413
O14793,GO:0098978,0.019841136
O14793,GO:0005604,0.019781563
O14793,GO:0099568,0.019640364
O14793,GO:0042383,0.019628035
O14793,GO:0072562,0.019617552
O14793,GO:1905360,0.019538118
O14793,GO:0005637,0.019524707
O14793,GO:0005924,0.01950718
O14793,GO:0000779,0.019500455
O14793,GO:0018995,0.019438218
O14793,GO:0043189,0.01937528
O14793,GO:0031968,0.019364687
O14793,GO:0035267,0.019343011
O14793,GO:0031256,0.019263305
O14793,GO:0032806,0.019228257
O14793,GO:0097546,0.019172164
O14793,GO:0005925,0.019083215
O14793,GO:0005797,0.01897303
O14793,GO:0005796,0.018940177
O14793,GO:0030133,0.018913766
O14793,GO:0005732,0.018803805
O14793,GO:0005814,0.018632477
O14793,GO:0000407,0.01854698
O14793,GO:0097730,0.01852895
O14793,GO:0030425,0.01851618
O14793,GO:0051286,0.018389858
O14793,GO:0043209,0.018265925
O14793,GO:0071014,0.018177416
O14793,GO:0005834,0.018142669
O14793,GO:0030141,0.018127846
O14793,GO:0005765,0.01811374
O14793,GO:0019897,0.01802025
O14793,GO:0000159,0.017620962
O14793,GO:0031252,0.017593723
O14793,GO:0022625,0.017531274
O14793,GO:0045177,0.017525548
O14793,GO:0099738,0.017345373
O14793,GO:0034045,0.017264672
O14793,GO:0005682,0.017102493
O14793,GO:0031902,0.01706967
O14793,GO:0030688,0.016887628
O14793,GO:1902562,0.016784769
O14793,GO:0031901,0.016732607
O14793,GO:0030176,0.016726894
O14793,GO:0033202,0.016723648
O14793,GO:0001669,0.01668735
O14793,GO:0005771,0.016684644
O14793,GO:0033643,0.016678382
O14793,GO:0035869,0.016624838
O14793,GO:0031227,0.0165923
O14793,GO:0005847,0.016515436
O14793,GO:1902495,0.016505204
O14793,GO:0032587,0.016435662
O14793,GO:1990351,0.016351068
O14793,GO:0005930,0.016327042
O14793,GO:0030427,0.016321713
O14793,GO:0090543,0.01629757
O14793,GO:0032039,0.016246295
O14793,GO:0071007,0.016232518
O14793,GO:0070069,0.016219169
O14793,GO:0042101,0.016198706
O14793,GO:0005801,0.016105948
O14793,GO:0001772,0.016042873
O14793,GO:0055037,0.016034797
O14793,GO:0032154,0.015824335
O14793,GO:0070469,0.01568346
O14793,GO:0005852,0.015610637
O14793,GO:0043296,0.015592386
O14793,GO:0032432,0.015520087
O14793,GO:0030428,0.0154751055
O14793,GO:0030288,0.015467103
O14793,GO:0005666,0.015431816
O14793,GO:1905354,0.015340572
O14793,GO:0044853,0.015305808
O14793,GO:0070993,0.015273629
O14793,GO:0046658,0.015239222
O14793,GO:0016282,0.015203136
O14793,GO:0008541,0.015110058
O14793,GO:0031594,0.015047664
O14793,GO:0031233,0.014986778
O14793,GO:0098794,0.014922237
O14793,GO:0001750,0.014916787
O14793,GO:0098827,0.014645558
O14793,GO:0005675,0.014591288
O14793,GO:0030135,0.01457362
O14793,GO:0043204,0.01456168
O14793,GO:0031362,0.014502385
O14793,GO:0032994,0.014482633
O14793,GO:0009941,0.014442545
O14793,GO:0033290,0.014427058
O14793,GO:0005581,0.014423452
O14793,GO:0030008,0.014332802
O14793,GO:0009526,0.014261306
O14793,GO:0002080,0.014227125
O14793,GO:0031261,0.014225688
O14793,GO:0005665,0.014211406
O14793,GO:0035579,0.014188672
O14793,GO:0000974,0.014131296
O14793,GO:0031234,0.0140639
O14793,GO:0005881,0.01402548
O14793,GO:0001726,0.013952512
O14793,GO:0005791,0.013926439
O14793,GO:0070382,0.013891455
O14793,GO:0070821,0.013875035
O14793,GO:0045271,0.013870787
O14793,GO:0031011,0.013841113
O14793,GO:0043202,0.013680368
O14793,GO:1990777,0.01364
O14793,GO:0042641,0.013634333
O14793,GO:0034358,0.013589622
O14793,GO:0043596,0.01354606
O14793,GO:0098636,0.01352377
O14793,GO:0005901,0.013444528
O14793,GO:0055035,0.013425551
O14793,GO:0030964,0.013419669
O14793,GO:0098793,0.013389273
O14793,GO:0070847,0.0133040715
O14793,GO:0098858,0.013226079
O14793,GO:0005689,0.013220503
O14793,GO:0022627,0.0132131865
O14793,GO:0034357,0.013075324
O14793,GO:0032838,0.013034603
O14793,GO:0009579,0.012942429
O14793,GO:0098573,0.012941744
O14793,GO:0044665,0.012865421
O14793,GO:0043073,0.012821714
O14793,GO:0030315,0.0127617605
O14793,GO:0042651,0.012733711
O14793,GO:0045275,0.01272858
O14793,GO:0009535,0.012700889
O14793,GO:0030136,0.012646388
O14793,GO:0019814,0.012621543
O14793,GO:0005935,0.01258198
O14793,GO:0099023,0.012565427
O14793,GO:0120111,0.012510313
O14793,GO:0042645,0.012478093
O14793,GO:0031430,0.012418853
O14793,GO:0034702,0.012410664
O14793,GO:0034364,0.012407283
O14793,GO:0005669,0.012313271
O14793,GO:0071782,0.012296527
O14793,GO:0030658,0.012272498
O14793,GO:0045211,0.012260625
O14793,GO:0035578,0.012183983
O14793,GO:0032592,0.01217062
O14793,GO:0097431,0.01190053
O14793,GO:0071011,0.011883314
O14793,GO:0045263,0.011706928
O14793,GO:0060170,0.011678504
O14793,GO:0070160,0.011671397
O14793,GO:0042571,0.011603486
O14793,GO:0005778,0.011556041
O14793,GO:0005747,0.011489042
O14793,GO:0008180,0.011416801
O14793,GO:0009534,0.011303164
O14793,GO:0016323,0.0112869125
O14793,GO:0005868,0.011259055
O14793,GO:0051285,0.011228013
O14793,GO:0005882,0.01119825
O14793,GO:0030479,0.011177186
O14793,GO:0005697,0.011162023
O14793,GO:0033177,0.011141904
O14793,GO:0031976,0.0111281425
O14793,GO:0005923,0.011127491
O14793,GO:0036452,0.011109782
O14793,GO:0031903,0.011100932
O14793,GO:0034703,0.0110703055
O14793,GO:0009279,0.011061747
O14793,GO:0000137,0.010973059
O14793,GO:0098685,0.010949826
O14793,GO:0061645,0.01092428
O14793,GO:0097526,0.01090427
O14793,GO:0098799,0.010888219
O14793,GO:0030686,0.010885755
O14793,GO:0032391,0.010802268
O14793,GO:0005902,0.010766958
O14793,GO:0009277,0.010763453
O14793,GO:0031977,0.010714118
O14793,GO:0042170,0.010700305
O14793,GO:0031304,0.0105634155
O14793,GO:0005736,0.0104162395
O14793,GO:0031597,0.010348023
O14793,GO:0031201,0.010310272
O14793,GO:0030863,0.0101667
O14793,GO:0031969,0.010103006
O14793,GO:0046540,0.01008527
O14793,GO:0001725,0.010079003
O14793,GO:0097038,0.010069207
O14793,GO:0005686,0.010004717
O14793,GO:0033116,0.009936117
O14793,GO:0097517,0.00981518
O14793,GO:0005875,0.009792504
O14793,GO:0005844,0.009776602
O14793,GO:0033180,0.009774258
O14793,GO:1904115,0.0097570345
O14793,GO:0071339,0.00972544
O14793,GO:0031231,0.009677507
O14793,GO:0009706,0.009651794
O14793,GO:0009528,0.009597447
O14793,GO:0099522,0.009508684
O14793,GO:0044306,0.00943087
O14793,GO:0030286,0.009424468
O14793,GO:0045277,0.009370726
O14793,GO:0009524,0.009364587
O14793,GO:0005798,0.009354775
O14793,GO:0031941,0.009338888
O14793,GO:0043332,0.0093292575
O14793,GO:0043195,0.009299661
O14793,GO:0005779,0.00926129
O14793,GO:0032156,0.009179895
O14793,GO:0000178,0.009138044
O14793,GO:0030175,0.009068679
O14793,GO:0008021,0.009068305
O14793,GO:0098533,0.00906408
O14793,GO:0031305,0.009056329
O14793,GO:0071005,0.008997626
O14793,GO:0009705,0.008983977
O14793,GO:0098878,0.0089457715
O14793,GO:0032281,0.008875338
O14793,GO:0005905,0.008874512
O14793,GO:0060076,0.008864732
O14793,GO:0008328,0.008808472
O14793,GO:0000421,0.008766428
O14793,GO:0030426,0.008766329
O14793,GO:0099501,0.00874049
O14793,GO:0030027,0.008736872
O14793,GO:0097225,0.008696028
O14793,GO:0048770,0.008683928
O14793,GO:0000177,0.008645241
O14793,GO:0030134,0.008604823
O14793,GO:0032839,0.008593388
O14793,GO:0033178,0.008553868
O14793,GO:0030672,0.008532207
O14793,GO:0051233,0.008518417
O14793,GO:0005751,0.0084759155
O14793,GO:0005744,0.008443613
O14793,GO:0042470,0.008400932
O14793,GO:0005940,0.00834796
O14793,GO:0032590,0.008313039
O14793,GO:0030120,0.008232586
O14793,GO:0032588,0.008170153
O14793,GO:0032589,0.008133448
O14793,GO:0030864,0.0080000395
O14793,GO:0001891,0.007965011
O14793,GO:0030117,0.007953009
O14793,GO:0031143,0.007943715
O14793,GO:0005884,0.0077993516
O14793,GO:0043190,0.0077991383
O14793,GO:0030666,0.007786874
O14793,GO:0044309,0.0076397727
O14793,GO:0030662,0.007620738
O14793,GO:0005790,0.0074822893
O14793,GO:0034704,0.007437297
O14793,GO:0009925,0.0074292663
O14793,GO:0016328,0.0074160225
O14793,GO:0034707,0.007362412
O14793,GO:1990752,0.007326529
O14793,GO:0032420,0.0072717145
O14793,GO:0043197,0.0072379867
O14793,GO:0030016,0.0071538445
O14793,GO:0019773,0.0071257656
O14793,GO:0017119,0.007111899
O14793,GO:0030660,0.0070902407
O14793,GO:0055038,0.007077386
O14793,GO:0005921,0.007075712
O14793,GO:0031306,0.0070746224
O14793,GO:0008305,0.007043922
O14793,GO:0098984,0.007030643
O14793,GO:0031307,0.0070243804
O14793,GO:0044291,0.007017799
O14793,GO:0046930,0.0069720764
O14793,GO:0098982,0.0069681644
O14793,GO:0097228,0.006939585
O14793,GO:0016469,0.00693125
O14793,GO:0000276,0.0068661175
O14793,GO:0042611,0.006857546
O14793,GO:0016459,0.006730035
O14793,GO:0043292,0.006725939
O14793,GO:0014704,0.0067186374
O14793,GO:0009521,0.0065867547
O14793,GO:0000943,0.0065239044
O14793,GO:0030670,0.006444389
O14793,GO:0005934,0.0064277668
O14793,GO:0008250,0.0062824828
O14793,GO:0000145,0.006263475
O14793,GO:0033017,0.006215918
O14793,GO:0032982,0.0061766123
O14793,GO:0030126,0.0061572376
O14793,GO:0016327,0.006018773
O14793,GO:0030131,0.006012898
O14793,GO:0098862,0.005918604
O14793,GO:0032585,0.005849179
O14793,GO:0031045,0.0057946844
O14793,GO:0030285,0.0057588033
O14793,GO:1990023,0.0057401406
O14793,GO:0033176,0.0055530844
O14793,GO:0008076,0.0054846206
O14793,GO:0098686,0.0054486403
O14793,GO:0034705,0.0053847926
O14793,GO:0043679,0.005382144
O14793,GO:0008540,0.005367486
O14793,GO:0030665,0.0052650087
O14793,GO:0005640,0.0052578487
O14793,GO:0005903,0.0052144546
O14793,GO:0042734,0.005153213
O14793,GO:0098563,0.0050848364
O14793,GO:0099091,0.005076872
O14793,GO:0032809,0.0050299605
O14793,GO:0035371,0.0049284813
O14793,GO:0034706,0.0048991307
O14793,GO:0001533,0.0048602177
O14793,GO:0044298,0.0048278025
O14793,GO:0048786,0.004685191
O14793,GO:0030669,0.0046331384
O14793,GO:0012507,0.0046240804
O14793,GO:0030127,0.004581281
O14793,GO:0097386,0.004544226
O14793,GO:0002102,0.0045200787
O14793,GO:0030119,0.004477098
O14793,GO:0098839,0.0044636335
O14793,GO:0031526,0.004413176
O14793,GO:0031082,0.00440536
O14793,GO:0005871,0.004348091
O14793,GO:0098945,0.0042659366
O14793,GO:0031528,0.00422183
O14793,GO:0099634,0.0041669914
O14793,GO:0005891,0.004023307
O14793,GO:0045095,0.0039699897
O14793,GO:0045261,0.0037785915
O14793,GO:0099240,0.0036788746
O14793,GO:0099699,0.0036365893
O14793,GO:0044295,0.003629977
O14793,GO:0005753,0.0035736724
O14793,GO:0044305,0.0035176417
O14793,GO:0070971,0.0034527853
O14793,GO:0016342,0.003338268
O14793,GO:0099061,0.0033203193
O14793,GO:0030118,0.0032980517
O14793,GO:0045259,0.003221971
O14793,GO:0099056,0.0031290934
O14793,GO:0099060,0.0031053824
O14793,GO:0099146,0.0030071249
O14793,GO:0098688,0.002873059
O14793,GO:0099055,0.002826315
O14793,GO:0098948,0.0028054456
O14793,GO:0098936,0.0027619717
O14793,GO:0098889,0.0026947954
O14793,GO:0099059,0.002429513
O14793,GO:0043198,0.0022955886
